"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Teresa","Hyun"," HUMA","1420","Mar","19","2019","4.0","4.0"
"Teresa","Hyun"," HUMA","1420","Dec","4","2018","1.0","4.0"
"Teresa","Hyun"," HUMA","1420","Sep","7","2018","3.0","3.0"
"Teresa","Hyun"," HUMA","3510","Jun","8","2017","5.0","4.0"
"Teresa","Hyun"," HUMA","1420","Apr","7","2015","3.0","4.0"
"Teresa","Hyun"," HUMA","2420","May","31","2013","4.5","1.0"
"Teresa","Hyun"," HUMA","3510","Sep","5","2012","3.0","2.0"
"Teresa","Hyun"," HUMA","2420","Jul","3","2012","2.0","3.0"
"Teresa","Hyun"," HUMA","3510","Jun","7","2012","5.0","1.0"
"Teresa","Hyun"," HUMA","2420","Mar","25","2012","4.0","1.0"
"Teresa","Hyun"," HUMA","2420","Jun","4","2011","3.0","1.0"
"Teresa","Hyun"," HUMA","2420","Jun","15","2010","1.0","5.0"
"Teresa","Hyun"," HUMA",NA,"Dec","7","2009","1.0","5.0"
"Teresa","Hyun"," HUMA","2420","Nov","25","2009","1.5","5.0"
"Teresa","Hyun"," HUMA","2420","Apr","24","2009","1.5","5.0"
"Teresa","Hyun"," HUMA","3425","Mar","12","2008","2.5","3.0"
"Teresa","Hyun"," HUMA","2420","May","2","2006","3.0","4.0"
"Teresa","Hyun"," HUMA","2420","Mar","11","2006","1.0","5.0"
"Teresa","Hyun"," HUMA","4410","Jul","25","2005","4.5","3.0"
"Teresa","Hyun"," HUMA","2420","Mar","15","2005","1.0","5.0"
"Teresa","Hyun"," KORG",NA,"Jan","4","2005","5.0","4.0"
"Teresa","Hyun"," ASHU","2420","Nov","11","2004","3.5","4.0"
"Teresa","Hyun"," HUMA","3200","Jul","8","2004","4.0","2.0"
"Teresa","Hyun"," HUMA","2420","Mar","13","2003","4.0","1.0"
"Teresa","Hyun"," HUMA","2420","Feb","27","2003","4.5","3.0"
"Teresa","Hyun"," HUMA","2420","Jan","29","2003","2.0","4.0"
"Teresa","Hyun"," HUMA","2420","Nov","30","2002","4.0","1.0"
"Teresa","Hyun"," HUMA",NA,"Oct","26","2002","4.5","1.0"
"Teresa","Hyun"," HUMA","2420","Apr","2","2002","2.0","4.0"
"Teresa","Hyun"," HUMA","3000","Mar","16","2002","2.5","3.0"
"Teresa","Hyun"," HUMA","2420","Jan","26","2002","3.5","2.0"
