"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Tom","Wilson"," LING","1000","Apr","7","2020","5.0","1.0"
"Tom","Wilson"," LING","1000","Jul","5","2019","5.0","3.0"
"Tom","Wilson"," LING","1000","May","27","2019","5.0","2.0"
"Tom","Wilson"," EN","1601","Feb","8","2019","5.0","3.0"
"Tom","Wilson"," LING","1000","Apr","3","2018","3.0","2.0"
"Tom","Wilson"," LING","2130","Jan","8","2018","5.0","2.0"
"Tom","Wilson"," LING","2130","Dec","4","2017","5.0","1.0"
"Tom","Wilson"," LING","1000","Apr","12","2017","4.0","2.0"
"Tom","Wilson"," LING","1000","Mar","4","2017","5.0","3.0"
"Tom","Wilson"," EN","1601","Jan","12","2017","4.0","2.0"
"Tom","Wilson"," LING","1000","Sep","1","2016","4.0","3.0"
"Tom","Wilson"," LIN","1602","Mar","31","2016","5.0","2.0"
"Tom","Wilson"," EN","1601","Jun","25","2015","5.0","2.0"
"Tom","Wilson"," LING","2060","Jun","1","2015","1.0","2.0"
"Tom","Wilson"," EN","1601","Apr","28","2015","4.0","2.0"
"Tom","Wilson"," LING","1000","Nov","10","2014","4.5","2.0"
"Tom","Wilson"," LING","2130","Apr","15","2014","1.0","1.0"
"Tom","Wilson"," EN",NA,"Apr","1","2014","4.0","4.0"
"Tom","Wilson"," EN","3604","Jan","9","2014","5.0","2.0"
"Tom","Wilson"," LING","1000","Oct","21","2013","5.0","4.0"
"Tom","Wilson"," EN","2608","Oct","1","2013","5.0","2.0"
"Tom","Wilson"," LING","1000","Aug","10","2013","3.5","2.0"
"Tom","Wilson"," LING","2140","Jan","6","2013","1.0","5.0"
"Tom","Wilson"," LING","3120","Dec","25","2012","3.5","2.0"
"Tom","Wilson"," LING","2120","Oct","29","2012","1.0","5.0"
"Tom","Wilson"," LING","2120","Sep","3","2012","4.5","2.0"
"Tom","Wilson"," LING","1000","Aug","8","2012","4.5","3.0"
"Tom","Wilson"," LING","1000","Aug","3","2012","4.5","2.0"
"Tom","Wilson"," LING","2120","Jul","10","2012","4.0","2.0"
"Tom","Wilson"," LING","2120","Jun","15","2012","5.0","1.0"
"Tom","Wilson"," LING","2120","Apr","12","2012","4.5","3.0"
"Tom","Wilson"," LING","1000","Mar","23","2012","1.0","5.0"
"Tom","Wilson"," LING","1000","Dec","7","2011","5.0","2.0"
"Tom","Wilson"," LING","1000","Aug","9","2011","4.0","1.0"
"Tom","Wilson"," LING","1000","May","27","2011","5.0","2.0"
"Tom","Wilson"," LING","1000","Apr","13","2011","5.0","2.0"
"Tom","Wilson"," LING","1000","Sep","13","2010","5.0","1.0"
"Tom","Wilson"," LING","0000","Aug","11","2010","4.5","3.0"
"Tom","Wilson"," LING","1000","Jul","13","2010","5.0","1.0"
"Tom","Wilson"," LING","2130","Apr","7","2010","5.0","1.0"
"Tom","Wilson"," LING","1000","Jan","27","2010","5.0","2.0"
"Tom","Wilson"," LING","1000","May","24","2009","5.0","1.0"
"Tom","Wilson"," LING","1000","Mar","19","2009","5.0","1.0"
"Tom","Wilson"," LING","1000","Mar","15","2009","5.0","1.0"
