"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Walter","Whiteley"," MATH","3052","Apr","13","2017","5.0","1.0"
"Walter","Whiteley"," MATH","3050","Jun","25","2015","5.0","2.0"
"Walter","Whiteley"," MATH","3050","Jun","25","2015","5.0","2.0"
"Walter","Whiteley"," MATH","3050","Jul","31","2014","5.0","1.0"
"Walter","Whiteley"," MATH","3050","May","6","2012","5.0","1.0"
"Walter","Whiteley"," MATH","3050","Apr","28","2012","5.0","1.0"
"Walter","Whiteley"," MATH","3050","Apr","24","2012","5.0","2.0"
"Walter","Whiteley"," MATH","3050","Aug","29","2009","4.5","3.0"
"Walter","Whiteley"," MATH","4150","Sep","19","2006","5.0","2.0"
"Walter","Whiteley"," MATH","5420","Jun","7","2005","5.0","1.0"
"Walter","Whiteley"," MATH","3050","Apr","9","2005","5.0","2.0"
"Walter","Whiteley"," PROJ",NA,"Nov","29","2004","4.0","1.0"
"Walter","Whiteley"," BC","1800","May","5","2003","4.5","3.0"
"Walter","Whiteley"," BC","1800","Apr","16","2002","5.0","2.0"
"Walter","Whiteley"," BC","1800","Mar","16","2002","5.0","1.0"
"Walter","Whiteley"," SEMR","1800","Feb","9","2002","5.0","2.0"
"Walter","Whiteley"," MATH","3050","Jul","19","2001","4.5","2.0"
