"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"William","van"," PHYS","4020","Apr","5","2019","1.0","5.0"
"William","van"," PHYS","2060","Mar","29","2019","1.0","5.0"
"William","van"," PHYS","1420","Mar","14","2018","5.0","4.0"
"William","van"," PHY","1410","Nov","25","2017","5.0","2.0"
"William","van"," PHYS","1410","Nov","6","2017","5.0","5.0"
"William","van"," PHY","1410","Sep","11","2017","4.0","4.0"
"William","van"," PHY","1410","Aug","9","2017","1.0","5.0"
"William","van"," PHYS","1410","May","2","2017","1.0","4.0"
"William","van"," PHYS","1420","Feb","14","2017","4.0","3.0"
"William","van"," PHYS","3010","Jan","20","2016","5.0","4.0"
"William","van"," PHYS","1410","May","10","2015","1.0","5.0"
"William","van"," PHYS","1510","Mar","31","2015","1.0","4.0"
"William","van"," PHYS","1410","Feb","14","2015","1.0","5.0"
"William","van"," 1410",NA,"Dec","21","2014","1.0","5.0"
"William","van"," 1410",NA,"Dec","6","2014","1.5","5.0"
"William","van"," 1510",NA,"Dec","6","2014","1.5","5.0"
"William","van"," PHYS","1410","Dec","2","2014","1.0","5.0"
"William","van"," PHYS","1410","Dec","2","2014","1.5","5.0"
"William","van"," 1410",NA,"Dec","1","2014","1.0","4.0"
"William","van"," PHYS","1410","Oct","19","2014","2.0","5.0"
"William","van"," 1410",NA,"Sep","25","2014","2.0","4.0"
"William","van"," 1410",NA,"Sep","13","2014","1.0","5.0"
"William","van"," 1410",NA,"Sep","13","2014","1.0","5.0"
"William","van"," 1510",NA,"Sep","13","2014","1.0","4.0"
"William","van"," 1510",NA,"Sep","4","2014","1.5","3.0"
"William","van"," PHYS","1510","Sep","3","2014","1.5","3.0"
"William","van"," PHYS","1510","Sep","3","2014","1.5","3.0"
"William","van"," PHYS","1510","May","30","2014","5.0","3.0"
"William","van"," 1510",NA,"May","6","2014","3.0","4.0"
"William","van"," 1410",NA,"Dec","2","2013","5.0","2.0"
"William","van"," PHYS","1410","Oct","10","2013","5.0","3.0"
"William","van"," PHYS","1410","Sep","24","2013","5.0","3.0"
"William","van"," PHYS","1410","Sep","19","2013","5.0","3.0"
"William","van"," PHYS","1410","Sep","15","2013","4.5","1.0"
"William","van"," PHYS","1410","Sep","9","2013","3.5","2.0"
"William","van"," PHYS","1410","Sep","7","2012","1.5","4.0"
"William","van"," PHYS","1410","Aug","28","2012","1.0","5.0"
"William","van"," PHY","1410","Jul","5","2012","3.0","3.0"
"William","van"," PHYS","1410","May","30","2012","1.5","3.0"
"William","van"," PHYS","1510","Apr","26","2012","5.0","3.0"
"William","van"," PHYS","3020","Jan","13","2012","1.0","5.0"
"William","van"," PHYS","3020","Nov","24","2011","2.5","5.0"
"William","van"," PHYS","1510","Nov","4","2011","2.5","3.0"
"William","van"," PHYS","11","Mar","4","2011","5.0","5.0"
"William","van"," PHYS","1410","Nov","12","2010","2.0","3.0"
"William","van"," PHYS","1410","Jul","31","2010","2.0","5.0"
"William","van"," PHYS","1420","Jul","29","2010","4.0","4.0"
"William","van"," PHYS","1510","Jul","29","2010","4.5","2.0"
"William","van"," PHYS","1510","Jun","16","2010","2.5","3.0"
"William","van"," PHYS","1410","Jun","5","2010","4.5","3.0"
"William","van"," PHYS","1510","May","17","2010","1.0","5.0"
"William","van"," PHYS","3010","Mar","23","2010","4.0","5.0"
"William","van"," PHYS","1410","Mar","16","2010","4.5","4.0"
"William","van"," EAND","4010","Nov","15","2009","4.5","5.0"
"William","van"," PHYS","1410","Oct","31","2009","3.5","5.0"
"William","van"," PHYS","1410","Oct","31","2009","3.5","5.0"
"William","van"," PHYS","1410","Sep","7","2009","1.0","5.0"
"William","van"," PHYS","1410","Aug","21","2009","1.0","5.0"
"William","van"," PHYS","1410","Aug","20","2009","1.0","5.0"
"William","van"," PHYS","1410","Aug","13","2009","2.0","5.0"
"William","van"," PHYS","1410","Aug","12","2009","4.5","5.0"
"William","van"," PHYS",NA,"Jun","28","2009","1.0","5.0"
"William","van"," PHYS","1410","Mar","10","2009","2.0","4.0"
"William","van"," PHYS","1410","Mar","29","2007","1.0","3.0"
"William","van"," PHYS","1014","Jan","12","2007","2.5","5.0"
"William","van"," PHYS","1410","Dec","5","2006","3.5","4.0"
"William","van"," PHY","1410","Nov","14","2006","4.5","1.0"
"William","van"," PHYS","1410","Oct","31","2006","3.5","3.0"
"William","van"," PHYS","1410","Oct","29","2006","1.0","5.0"
"William","van"," PHY","1401","Oct","23","2006","3.5","3.0"
"William","van"," MATH","1015","Dec","3","2004","3.0","2.0"
