"prof_name.i..1.","prof_name.i..2.","course_name","course_code","month","day","year","quality_indv","difficulty_indv"
"Yun","Gao"," MATH","1025","Sep","15","2020","5.0","2.0"
"Yun","Gao"," MATH","1025","Jul","26","2020","5.0","2.0"
"Yun","Gao"," MATH","1025","May","6","2020","4.0","3.0"
"Yun","Gao"," MATH","1025","Jan","9","2020","3.0","3.0"
"Yun","Gao"," MATH","1025","Nov","24","2019","3.0","4.0"
"Yun","Gao"," MATH","1300","Mar","31","2019","1.0","4.0"
"Yun","Gao"," MATH","1300","Jan","3","2019","1.0","3.0"
"Yun","Gao"," MATH","1021","Dec","17","2018","5.0","2.0"
"Yun","Gao"," MATH","1021","Nov","13","2018","1.0","5.0"
"Yun","Gao"," MATH","1021","Oct","25","2018","1.0","5.0"
"Yun","Gao"," MATH","1025","Apr","8","2018","1.0","4.0"
"Yun","Gao"," MATH","1025","Jan","9","2018","1.0","5.0"
"Yun","Gao"," MATH","1025","Dec","21","2017","4.0","3.0"
"Yun","Gao"," MATH","1025","Dec","19","2017","5.0","5.0"
"Yun","Gao"," MATH","1025","Dec","3","2017","5.0","3.0"
"Yun","Gao"," MATH","1025","Sep","27","2017","1.0","4.0"
"Yun","Gao"," MATH","1505","Jun","6","2017","3.0","3.0"
"Yun","Gao"," MATH","1190","Jan","5","2017","4.0","1.0"
"Yun","Gao"," MAH","3021","Nov","6","2016","5.0","1.0"
"Yun","Gao"," MATH","1025","Jan","20","2016","4.0","2.0"
"Yun","Gao"," MATH","1025","Jan","5","2016","1.0","3.0"
"Yun","Gao"," MATH","1025","Jan","3","2016","3.0","2.0"
"Yun","Gao"," MATH","1025","Dec","13","2015","3.5","3.0"
"Yun","Gao"," MATH","3021","Aug","13","2015","4.0","3.0"
"Yun","Gao"," MATH","1505","Apr","25","2015","5.0","1.0"
"Yun","Gao"," MATH","3021","Apr","14","2015","3.0","1.0"
"Yun","Gao"," MATH","1505","Sep","17","2014","5.0","1.0"
"Yun","Gao"," MATH","1505","Sep","13","2014","2.0","3.0"
"Yun","Gao"," MATH","1300","Apr","16","2014","3.5","3.0"
"Yun","Gao"," ALGE","4020","Dec","29","2013","3.0","1.0"
"Yun","Gao"," MATH","1300","May","2","2013","4.0","2.0"
"Yun","Gao"," MATH","1300","Jan","7","2013","3.5","2.0"
"Yun","Gao"," CALC","3","Dec","5","2012","1.5","3.0"
"Yun","Gao"," CALC","1013","Jan","31","2012","2.5","2.0"
"Yun","Gao"," MATH","1013","Dec","31","2011","4.5","2.0"
"Yun","Gao"," MATH","1190","Dec","14","2011","2.5","3.0"
"Yun","Gao"," MATH","1190","Dec","9","2011","4.5","1.0"
"Yun","Gao"," MATH","1300","Aug","16","2011","5.0","1.0"
"Yun","Gao"," MATH","1300","Apr","24","2011","5.0","1.0"
"Yun","Gao"," MATH","1300","Mar","31","2011","5.0","1.0"
"Yun","Gao"," MATH","1300","Mar","31","2011","5.0","1.0"
"Yun","Gao"," MATH",NA,"Feb","8","2011","4.0","2.0"
"Yun","Gao"," MATH","1190","Feb","2","2011","2.5","3.0"
"Yun","Gao"," MATH","1300","Dec","22","2010","3.0","2.0"
"Yun","Gao"," MATH","1190","Nov","26","2010","1.5","4.0"
"Yun","Gao"," MATH","1300","Nov","22","2010","4.5","1.0"
"Yun","Gao"," MATH","1021","Sep","15","2010","5.0","1.0"
"Yun","Gao"," MATH","1300","Aug","3","2008","4.5","1.0"
"Yun","Gao"," MATH","1550","Jul","25","2008","4.5","1.0"
"Yun","Gao"," MATH","1550","May","5","2008","3.5","1.0"
"Yun","Gao"," MATH","1550","Mar","17","2008","4.5","3.0"
"Yun","Gao"," MATH","1550","Jun","30","2007","5.0","1.0"
"Yun","Gao"," MATH","1550","Mar","1","2006","1.0","5.0"
"Yun","Gao"," MATH",NA,"Oct","27","2005","4.5","2.0"
"Yun","Gao"," MATH","1021","Jun","20","2004","5.0","1.0"
"Yun","Gao"," MATH","2021","Mar","30","2004","4.0","2.0"
"Yun","Gao"," 2222",NA,"Mar","10","2003","5.0","1.0"
"Yun","Gao"," MATH","1300","Dec","30","2002","5.0","2.0"
"Yun","Gao"," MATH","1300","Sep","18","2002","5.0","1.0"
"Yun","Gao"," 2222",NA,"Apr","17","2002","3.5","2.0"
"Yun","Gao"," MATH","2222","Jul","5","2001","5.0","3.0"
